what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361750861427
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361750862234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361750863577
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361750865570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750865576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750866491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750866717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750883397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361750898893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750903237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750940302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361750966538
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361750976068
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361750978302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750978307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750979060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750979288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361750996728
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361751005153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751055756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751089672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361751093002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751110180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751121975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751125893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751144370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751149542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751154669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751157367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751161727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751163337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751179941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751182295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751191855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361751225379
