what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286309232
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359286312192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286312207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286312923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286313238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286327393
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359286347882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286349073
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359286351235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286351473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286355426
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359286368317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286379412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286448355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359286871338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286887922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359286895674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286898521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359286906989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286925792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286933196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359286960081
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286962170
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359286964234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286964249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286965054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286965332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286969141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286976874
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286980812
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359286989302
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359286990962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286990977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286991529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359286991778
