what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1361547111470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547112682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547116118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1361547116124
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547120520
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547151837
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547165545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547165558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547166168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547166514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547177747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547233155
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547239558
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547291335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547300339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547301871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547327207
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547330755
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547334042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547334346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547349751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547356743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547380967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547384114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547389608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547394714
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547397572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547397814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547416086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547425092
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547447966
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547449644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547449656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547450362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547450602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547481833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547527039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547554614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547555810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547556674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547557583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547558237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361547573610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361547575133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547598813
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547601744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547601981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547608732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361547656448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361547658122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547661102
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547665567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547665783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547682123
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547684705
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547732895
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547734956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547734969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547735932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547736201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547743848
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361547743855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547748479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547751294
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547757994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547782120
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547784581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547784596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547785400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547785643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547792941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547820338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547836011
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547845981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547845994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547846861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547847200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547858305
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547862130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547862370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547865092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547874795
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547882902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547883135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547907275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547916854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361547954385
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361547954974
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547965107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547965120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547965926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547966189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547984503
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361547997662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547997674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547998656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361547998931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548035444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548043242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548048227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361548073544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548075845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548077922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548113386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361548119743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548121636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548124617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361548181396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548184934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548190241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548193327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548208689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548211992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548222112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361548223966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548262040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548268516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548288212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548301736
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548311696
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548331293
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548360913
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361548362288
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1361548364048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548364060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548364869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548365129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361548386883
