what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1359653542816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653544801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653605795
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359653609796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653610020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653634888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653637995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653650121
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359653651843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653651868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653652700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653652988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653658102
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359653660163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653660396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653776665
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653782443
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359653833873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653838899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653846261
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653846301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653846357
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359653862024
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653862321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359653862367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359653995554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359654006486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654023404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359654025532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654098792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654106540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654147814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359654201425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359654212212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654215837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654234024
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654309711
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359654324100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359654399882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359654399973
