what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359472956140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359472958198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473002851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473048655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473059192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473074302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473084490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473088086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473089948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473090952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473095947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473100062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473147964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473198734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359473216241
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473217312
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473219694
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473226508
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359473229705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473229718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473230460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473230728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473235923
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359473238105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473238337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473272697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473274658
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473285415
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359473287099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473287115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473287892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473288159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473298589
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473299743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473322822
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359473325137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473325152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473325714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473325974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473344932
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473346220
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473394494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473395292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473397659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473397769
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473398214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473447299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473449391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473456892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473459638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473461148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473680927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473691858
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473704823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473711880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359473818717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359473825811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359473837728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359473841952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359473846706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359473849846
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473850674
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359473852900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473853218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473891958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359473895653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473900045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473900668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473901067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473901491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473902139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473902928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473903788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473904612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473905324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473905819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473906487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473907215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473907957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473908498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359473909004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473936273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473945035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359473946420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359474170453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359474206594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359474207444
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359474209459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359474209692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359474243710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359474309083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359474908432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359475813230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359481167792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359481541769
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359481625802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359481673835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359484105656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359484404530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486209481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486211186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486677542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486686675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486849802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359486856420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487124446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487130975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487139866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487144615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487150694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487154855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487266391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487270350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487274219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487281886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487282732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487287226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487291390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487291944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487299910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487300598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487303959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359487312879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487321204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487325331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487366976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487732206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487765865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487766639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487767865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487769176
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359487772704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359487792033
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359487794044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487794059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487795024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487795611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487824615
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359487860188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359487881361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487899501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359487933676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488220464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488227810
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359488230366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359488271970
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359488274091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488274106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488274810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488275074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488279972
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359488281775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488282015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488286425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359488291695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359488357248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359488769260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488792093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488845372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488882232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488883319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488887301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488887778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359488887928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359488891144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359488994356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359488995839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359489059090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359489061293
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359489063210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489063528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489075102
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359489079146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489079395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489089679
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359489106388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359489137697
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359489139200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489139215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489139891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489140148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489172363
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359489177034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489177280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359489206114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359489208251
